title,director,year,country,genres,image,synopsis,mubi_url,film_id
2026 Oscar® Nominated Short Films: Animation,"Florence Miailhe, Chris Lavis, Maciek Szczerbowski, John Kelly, Jeremy Spears, Nathan Engelhardt, Konstantin Bronzit",2026,"France, Canada",Animation,https://assets.mubicdn.net/images/film/466210/image-w448.jpg,"Compilation of all five films nominated in the Short Films: Animation category at the Academy Awards®: Butterfly, The Girl Who Cried Pearls, Retirement Plan, Forevergreen and The Three Sisters.",https://mubi.com/en/films/2026-oscar-nominated-short-films-animation,466210
2026 Oscar® Nominated Short Films: Live Action,"Alexandre Singh, Natalie Musteata, Lee Knight, Sam A. Davis, Julia Aks, Steve Greist, Meyer Levinson-Blount",2026,"France, United Kingdom","Drama, Comedy, Sci-Fi, LGBTQ+",https://assets.mubicdn.net/images/film/466218/image-w448.jpg,"Compilation of all five films nominated in the Short Films: Live Action category at the Academy Awards®: Two People Exchanging Saliva, A Friend of Dorothy, The Singers, Jane Austen’s Period Drama and Butcher’s Stain.",https://mubi.com/en/films/2026-oscar-nominated-short-films-live-action,466218
2024 Oscar® Nominated Short Films: Animation,"Tal Kantor, Jerusha Hess, Jared Hess, Yegane Moghaddam, Stéphanie Clément, Dave Mullins",2024,"France, United States","Animation, Short, Anthology",https://assets.mubicdn.net/images/film/403743/image-w448.jpg,"Compilation of all five films nominated in the Short Films: Animation category at the Academy Awards®: Letter to a Pig, Ninety-Five Senses, Our Uniform, Pachyderme and War Is Over! Inspired by the Music of John & Yoko.",https://mubi.com/en/films/2024-oscar-nominated-short-films-animation,403743
20th Century Women,Mike Mills,2016,United States,"Drama, Comedy",https://assets.mubicdn.net/images/film/135144/image-w448.jpg,"In Santa Barbara, determined single mother Dorothea is in her 50s and raising her teenage son Jamie at a moment of cultural change. To help Jamie’s upbringing she enlists two younger women: the free-spirited artist Abbie lodging in Dorothea’s home, and Julie, a savvy, provocative teenage neighbor.",https://mubi.com/en/films/20th-century-women,135144
#21XOXO,"Sine Özbilge, Imge Özbilge",2019,Belgium,"Animation, Short",https://assets.mubicdn.net/images/film/243900/image-w448.jpg,"A young woman drifts through a parallel digital world—searching for love by navigating speed dating, hipster culture, and post-net detachment. The woman’s adventure becomes increasingly surreal with each fleeting encounter and virtual connection.",https://mubi.com/en/films/21xoxo,243900
24 Hour Party People,Michael Winterbottom,2002,United Kingdom,"Biography, Comedy, Drama",https://assets.mubicdn.net/images/film/20513/image-w448.jpg,"A vibrant portrait of the Manchester music scene during the mid-to-late 1970s, through the eyes of TV presenter Tony Wilson, founder of Factory Records, as he introduces the world to such notable musical acts as Joy Division, New Order, and The Happy Mondays.",https://mubi.com/en/films/24-hour-party-people,20513
28 Days Later,Danny Boyle,2002,United Kingdom,"Horror, Sci-Fi, Drama",https://assets.mubicdn.net/images/film/1765/image-w448.jpg,"A group of animal rights advocates breaks into a research laboratory, releasing a caged chimpanzee that is infected with the rage virus. When a bike courier wakes from a coma in an abandoned London hospital 28 days later, he embarks on a perilous journey to escape from the infected.",https://mubi.com/en/films/28-days-later,1765
27,Flóra Anna Buda,2023,"France, Hungary","Animation, Short",https://assets.mubicdn.net/images/film/377693/image-w448.jpg,"Alice still lives with her parents and tends to live in her dreams to escape her dreary everyday life. After a psychedelic party on a factory roof, she has a serious drunken bike accident. Will this give her the courage to become an adult?",https://mubi.com/en/films/27-2023,377693
28 Years Later: The Bone Temple,Nia DaCosta,2026,"United Kingdom, United States","Horror, Thriller, Drama",https://assets.mubicdn.net/images/film/446528/image-w448.jpg,"As Spike is inducted into Jimmy Crystal’s gang on the mainland, Dr. Kelson makes a discovery that could alter the world.",https://mubi.com/en/films/28-years-later-the-bone-temple,446528
28 Years Later,Danny Boyle,2025,United Kingdom,Horror,https://assets.mubicdn.net/images/film/405414/image-w448.jpg,"A group of survivors of the rage virus lives on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders and horrors that have mutated not only the infected but other survivors.",https://mubi.com/en/films/28-years-later,405414
25 Ways to Quit Smoking,Bill Plympton,1989,United States,"Animation, Short",https://assets.mubicdn.net/images/film/32996/image-w448.jpg,"Noted animator Bill Plympton helps you kick the habit by illustrating 25 ways to curb your nicotine cravings that are effective, simple, and often far more hazardous to your health than a 5-pack-a-day habit. Beware the sumo treatment!",https://mubi.com/en/films/25-ways-to-quit-smoking,32996
3 Faces,Jafar Panahi,2018,"Iran, United States",Drama,https://assets.mubicdn.net/images/film/203235/image-w448.jpg,"Filmmaker Jafar Panahi and actor Behnaz Jafari travel to a tiny village after receiving a plea for help from a girl whose family has forbidden her from studying acting. Amusing encounters abound, but they soon discover that the local hospitality is rivaled by the desire to protect old traditions.",https://mubi.com/en/films/3-faces-2018,203235
3 Shots,Jorge Iván Morales,2009,Mexico,"Short, Comedy, Fantasy",https://assets.mubicdn.net/images/film/132425/image-w448.jpg,An evening get-together of a group of vampire friends takes an interesting turn when an unsuspecting human visitor arrives.,https://mubi.com/en/films/3-shots,132425
4 Days in France,Jérôme Reybaud,2016,France,"Drama, LGBTQ+, Comedy",https://assets.mubicdn.net/images/film/157938/image-w448.jpg,"On a whim, Pierre abandons his Parisian apartment—and his boyfriend—for the lush countryside of southern France. Letting himself be guided by the dating app Grindr, he wanders from landscape to landscape, man to man. Meanwhile, his jilted lover tries to discover his location through the same app.",https://mubi.com/en/films/4-days-in-france,157938
45 Years,Andrew Haigh,2015,United Kingdom,"Drama, Romance",https://assets.mubicdn.net/images/film/119023/image-w448.jpg,"It’s one week until Kate and Geoff’s 45th anniversary, and a huge party is being planned. But then a letter arrives for Geoff. The body of Katya, his first love, has been discovered frozen and immaculately preserved in the glaciers of the Swiss Alps. Kate becomes obsessed with Geoff’s past.",https://mubi.com/en/films/45-years,119023
5x2,François Ozon,2004,France,"Drama, Romance",https://assets.mubicdn.net/images/film/1379/image-w448.jpg,"Gilles and Marion, a young French couple, separate. Told in reverse, the story traces five key moments of their relationship: their divorce, a strained dinner with friends, the birth of their child, their wedding, and their first meeting.",https://mubi.com/en/films/5x2,1379
6/64: Mama and Papa: An Otto Mühl Happening,Kurt Kren,1964,Austria,"Avant-Garde, Short",https://assets.mubicdn.net/images/film/26786/image-w448.jpg,"With the making of his sixth film, Kren introduced subject-matter that was considered at that time to be highly revolutionary or even explosive. He began filming ‘actions’ and ‘happenings’ staged by Otto Muehl and Günter Brus, and by the Vienna Institute for Direct Art.",https://mubi.com/en/films/664-mama-and-papa-an-otto-muhl-happening,26786
7/64: Leda and the Swan,Kurt Kren,1964,Austria,"Short, Avant-Garde",https://assets.mubicdn.net/images/film/23740/image-w448.jpg,"Kren´s film 7/64 – Leda and the Swan is also based on a Muehl Materialaktion. The almost convulsive use of juxtaposition reappears here, but the captured gesture assumes a more erotic sensitivity, though the “action” itself was primarily a gradual destruction of the erotic.",https://mubi.com/en/films/764-leda-and-the-swan,23740
8 Women,François Ozon,2002,France,"Comedy, Crime, Musical, Mystery",https://assets.mubicdn.net/images/film/437/image-w448.jpg,"In an isolated mansion in 1950s France, a family is gathered for the holiday season. But the patriarch is found murdered, and the killer can only be one of the eight women closest to him. The telephone line has been cut, the car won’t start, and a heavy snowfall keeps the women confined together.",https://mubi.com/en/films/8-women,437
